
Sync-Point 0, Time: 0, Nf = 0000110000, Systemstep: 0
Sync-Point 212, Time: 0.144531, Nf = 0000035554, Systemstep: 0.000976562

Sync-Point 213, Time: 0.145508, Nf = 0000000034, Systemstep: 0.000976562

Sync-Point 214, Time: 0.146484, Nf = 0000008050, Systemstep: 0.000976562

Sync-Point 215, Time: 0.147461, Nf = 0000000048, Systemstep: 0.000976562

Sync-Point 216, Time: 0.148438, Nf = 0000068510, Systemstep: 0.000976562

Sync-Point 217, Time: 0.149414, Nf = 0000000060, Systemstep: 0.000976562

Sync-Point 218, Time: 0.150391, Nf = 0000008032, Systemstep: 0.000976562

Sync-Point 219, Time: 0.151367, Nf = 0000000064, Systemstep: 0.000976562

Sync-Point 220, Time: 0.152344, Nf = 0000035238, Systemstep: 0.000976562

Sync-Point 221, Time: 0.15332, Nf = 0000000078, Systemstep: 0.000976562

Sync-Point 222, Time: 0.154297, Nf = 0000008070, Systemstep: 0.000976562

Sync-Point 223, Time: 0.155273, Nf = 0000000090, Systemstep: 0.000976562

Sync-Point 224, Time: 0.155762, Nf = 0000000004, Systemstep: 0.000488281

Sync-Point 225, Time: 0.15625, Nf = 0000109776, Systemstep: 0.000488281

Sync-Point 226, Time: 0.156738, Nf = 0000000008, Systemstep: 0.000488281

Sync-Point 227, Time: 0.157227, Nf = 0000000110, Systemstep: 0.000488281

Sync-Point 228, Time: 0.157715, Nf = 0000000008, Systemstep: 0.000488281

Sync-Point 229, Time: 0.158203, Nf = 0000008112, Systemstep: 0.000488281

Sync-Point 230, Time: 0.158691, Nf = 0000000010, Systemstep: 0.000488281

Sync-Point 231, Time: 0.15918, Nf = 0000000126, Systemstep: 0.000488281

Sync-Point 232, Time: 0.159668, Nf = 0000000010, Systemstep: 0.000488281

Sync-Point 233, Time: 0.160156, Nf = 0000034860, Systemstep: 0.000488281

Sync-Point 234, Time: 0.160645, Nf = 0000000010, Systemstep: 0.000488281

Sync-Point 235, Time: 0.161133, Nf = 0000000136, Systemstep: 0.000488281

Sync-Point 236, Time: 0.161621, Nf = 0000000020, Systemstep: 0.000488281

Sync-Point 237, Time: 0.162109, Nf = 0000008190, Systemstep: 0.000488281

Sync-Point 238, Time: 0.162598, Nf = 0000000026, Systemstep: 0.000488281

Sync-Point 239, Time: 0.163086, Nf = 0000000144, Systemstep: 0.000488281

Sync-Point 240, Time: 0.163574, Nf = 0000000030, Systemstep: 0.000488281

Sync-Point 241, Time: 0.164062, Nf = 0000068302, Systemstep: 0.000488281

Sync-Point 242, Time: 0.164551, Nf = 0000000032, Systemstep: 0.000488281

